raw_sector,source,mapped_sector,sector_code
hbghotels,mc,,
hccre,mc,,
hcgre,mc,,
hdfcbse500,mc,,
hdfcbsesensex,mc,,
hdfcgoldetf,mc,,
hdfcliquid,mc,,
hdfcmomentum,mc,,
hdfcn50etf,mc,,
hdfcnifty100,mc,,
hdfcnifty250,mc,,
hdfcnifty50,mc,,
hdfcniftybank,mc,,
hdfcniftygro,mc,,
hdfcniftyit,mc,,
hdfcniftylow,mc,,
hdfcniftymid,mc,,
hdfcniftynext,mc,,
hdfcniftypri,mc,,
hdfcniftyqua,mc,,
hdfcsiletf,mc,,
headsupvent,mc,,
heeraispat,mc,,
helioscapital,mc,,
helpagefin,mc,,
hemisphere,mc,,
hemoorganic,mc,,
hexagonnutriti,mc,,
highwayre,mc,,
higreencarbon,mc,,
hilltonesoftg,mc,,
hiltonre,mc,,
hiltonre1,mc,,
hiltonre2,mc,,
hindalco,mc,,
hindpetro,mc,,
hindwareap,mc,,
hisarspinning,mc,,
hitachienergy,mc,,
hpadhesives,mc,,
hrhnext,mc,,
hsbcassetmgt,mc,,
hsbcgoldetf,mc,,
hummingbird,mc,,
husysconsultin,mc,,
iblfinance,mc,,
icds,mc,,
iciciamc,mc,,
icicilombard,mc,,
icicim150,mc,,
icicin100etf,mc,,
icicin20etf,mc,,
iclorganic,mc,,
iconiksports,mc,,
icqual30ietf,mc,,
idbibank,mc,,
idbigoldetf,mc,,
idfc,mc,,
idfcmf,mc,,
idfcsensex,mc,,
ielre,mc,,
ifci010811b,mc,,
iflenterprises,mc,,
ifs,mc,,
igil,mc,,
iiflcapital,mc,,
iiflfinancere,mc,,
iirmholdings,mc,,
ikiotech,mc,,
ikomatech,mc,,
ilfsinfraam,mc,,
imagicaaworld,mc,,
inconengineers,mc,,
indiabulls,mc,,
indiamartinter,mc,,
indiashelter,mc,,
indocotspin,mc,,
indoglobalent,mc,,
indosmc,mc,,
indrenre,mc,,
indsoyre,mc,,
indusinfratru,mc,,
inflameappl,mc,,
infronicssyst,mc,,
infurnia,mc,,
infurniaholdin,mc,,
innocorp,mc,,
innovacaptab,mc,,
innovativeidea,mc,,
innovision,mc,,
intconstructio,mc,,
integproteins,mc,,
integraessenti,mc,,
intelligentsup,mc,,
interarchbuild,mc,,
interisetrust,mc,,
invegoldetf,mc,,
inveniftyetf,mc,,
invescoassetm,mc,,
iodpl,mc,,
iprubse500,mc,,
iprubseliquid,mc,,
iprubsesensex,mc,,
ipruevetf,mc,,
